Judul,Perusahaan,Lokasi,Jurusan
Talent & Social Media Specialist,Sinergi Surya Muda,"JL. CIPINANG BALI IV BLOK C NO. 14, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Bisnis Digital, Komunikasi Digital dan Media"
"Videografer (Photografer, Video Editor, Motion)",Sinergi Surya Muda,"JL. CIPINANG BALI IV BLOK C NO. 14, KOTA ADM. JAKARTA TIMUR, DKI JAKARTA","Komunikasi Digital dan Media, Pemasaran Digital, Bisnis Properti, Manajemen & Produksi Film Video & TV, Penyuntingan Audio dan Video"
Analis Reklamasi dan Pasca Tambang,Direktorat Jenderal Mineral dan Batubara,"Jl. Prof. Dr. Soepomo, S.H. No. 10 Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Teknik Lingkungan, Teknik Pertambangan"
Analis Keselamatan dan Kesehatan Kerja,Direktorat Jenderal Mineral dan Batubara,"Jl. Prof. Dr. Soepomo, S.H. No. 10 Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Kesehatan dan Keselamatan Kerja
Konseling / Psikologi Komunitas,Direktorat Jenderal Mineral dan Batubara,"Jl. Prof. Dr. Soepomo, S.H. No. 10 Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Psikologi
Analis Manajemen Risiko,Direktorat Jenderal Mineral dan Batubara,"Jl. Prof. Dr. Soepomo, S.H. No. 10 Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Administrasi Publik
Analis Hukum,Direktorat Jenderal Mineral dan Batubara,"Jl. Prof. Dr. Soepomo, S.H. No. 10 Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Hukum Bisnis, Hukum Administrasi Negara, Hukum Tata Negara"
Content Creator,Direktorat Jenderal Mineral dan Batubara,"Jl. Prof. Dr. Soepomo, S.H. No. 10 Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA",Desain Komunikasi Visual
Analis PNBP,Direktorat Jenderal Mineral dan Batubara,"Jl. Prof. Dr. Soepomo, S.H. No. 10 Jakarta, KOTA ADM. JAKARTA SELATAN, DKI JAKARTA","Akuntansi, Administrasi Publik"
Admin HR Operational,Dyandra Promosindo,"Jl. Johar No. 9 RT 005/RW 003, KOTA ADM. JAKARTA PUSAT, DKI JAKARTA","Manajemen, Manajemen Sumber Daya Manusia, Psikologi, Administrasi Bisnis"
BRANCH BUSINESS DEVELOPMENT INTERN,PT. Bank Mandiri (Persero) Tbk,"Kampus A Universitas Trisakti Jl. Kyai Tapa No. 1 Kel. Tomang Kec. Grogol Petamburan Jakarta Barat, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Teknik Industri, Statistik, Akuntansi, Ekonomi, Ilmu Komunikasi"
KOL/ Influencer Marketing Intern,Whizzy Inovasi Digital,"Infiniti Office, Permata Regency  D/37. Jl Haji Kelik, Srengseng, Kembangan, KOTA ADM. JAKARTA BARAT, DKI JAKARTA","Ilmu Komunikasi, Manajemen Pemasaran/Marketing, Administrasi, Komunikasi, Komunikasi Digital dan Media"
